Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1u","C_0805_2012Metric",162.730000,-82.050000,270.000000,bottom
"C2","0.1u","C_0805_2012Metric",142.743750,-86.688750,0.000000,bottom
"C3","0.1u","C_0805_2012Metric",160.000000,-89.450000,180.000000,bottom
"C4","10u","C_0805_2012Metric",148.693750,-76.880000,180.000000,bottom
"C5","22p","C_0805_2012Metric",166.530000,-83.000000,180.000000,bottom
"C6","22p","C_0805_2012Metric",166.530000,-88.600000,180.000000,bottom
"C7","1u","C_0805_2012Metric",153.690000,-75.600000,270.000000,bottom
"D1","1N4148","D_SOD-123",2.381250,-11.906250,90.000000,bottom
"D2","1N4148","D_SOD-123",19.050000,-11.906250,90.000000,bottom
"D3","1N4148","D_SOD-123",38.100000,-11.906250,90.000000,bottom
"D4","1N4148","D_SOD-123",57.150000,-11.906250,90.000000,bottom
"D5","1N4148","D_SOD-123",76.200000,-11.906250,90.000000,bottom
"D6","1N4148","D_SOD-123",95.250000,-11.906250,90.000000,bottom
"D7","1N4148","D_SOD-123",114.300000,-11.906250,90.000000,bottom
"D8","1N4148","D_SOD-123",133.350000,-11.906250,90.000000,bottom
"D9","1N4148","D_SOD-123",152.400000,-11.906250,90.000000,bottom
"D10","1N4148","D_SOD-123",171.450000,-11.906250,90.000000,bottom
"D11","1N4148","D_SOD-123",190.500000,-11.906250,90.000000,bottom
"D12","1N4148","D_SOD-123",209.550000,-11.906250,90.000000,bottom
"D13","1N4148","D_SOD-123",228.600000,-11.906250,90.000000,bottom
"D14","1N4148","D_SOD-123",257.175000,-11.906250,90.000000,bottom
"D15","1N4148","D_SOD-123",285.750000,-11.906250,90.000000,bottom
"D16","1N4148","D_SOD-123",4.762500,-30.956250,90.000000,bottom
"D17","1N4148","D_SOD-123",28.575000,-30.956250,90.000000,bottom
"D18","1N4148","D_SOD-123",47.625000,-30.956250,90.000000,bottom
"D19","1N4148","D_SOD-123",66.675000,-30.956250,90.000000,bottom
"D20","1N4148","D_SOD-123",85.725000,-30.956250,90.000000,bottom
"D21","1N4148","D_SOD-123",104.775000,-30.956250,90.000000,bottom
"D22","1N4148","D_SOD-123",123.825000,-30.956250,90.000000,bottom
"D23","1N4148","D_SOD-123",142.875000,-30.956250,90.000000,bottom
"D24","1N4148","D_SOD-123",161.925000,-30.956250,90.000000,bottom
"D25","1N4148","D_SOD-123",180.975000,-30.956250,90.000000,bottom
"D26","1N4148","D_SOD-123",200.025000,-30.956250,90.000000,bottom
"D27","1N4148","D_SOD-123",219.075000,-30.956250,90.000000,bottom
"D28","1N4148","D_SOD-123",238.125000,-30.956250,90.000000,bottom
"D29","1N4148","D_SOD-123",261.937500,-30.956250,90.000000,bottom
"D30","1N4148","D_SOD-123",285.750000,-30.956250,90.000000,bottom
"D31","1N4148","D_SOD-123",7.143750,-50.006250,90.000000,bottom
"D32","1N4148","D_SOD-123",33.337500,-50.006250,90.000000,bottom
"D33","1N4148","D_SOD-123",52.387500,-50.006250,90.000000,bottom
"D34","1N4148","D_SOD-123",71.437500,-50.006250,90.000000,bottom
"D35","1N4148","D_SOD-123",90.487500,-50.006250,90.000000,bottom
"D36","1N4148","D_SOD-123",109.537500,-50.006250,90.000000,bottom
"D37","1N4148","D_SOD-123",128.587500,-50.006250,90.000000,bottom
"D38","1N4148","D_SOD-123",147.637500,-50.006250,90.000000,bottom
"D39","1N4148","D_SOD-123",166.687500,-50.006250,90.000000,bottom
"D40","1N4148","D_SOD-123",185.737500,-50.006250,90.000000,bottom
"D41","1N4148","D_SOD-123",204.787500,-50.006250,90.000000,bottom
